GEOID,NAME,variable,estimate,moe
17027,"Clinton County, Illinois",B25077_001,145700,5891
17029,"Coles County, Illinois",B01001H_001,46330,16
17029,"Coles County, Illinois",B01002_001,36.6,0.6
17029,"Coles County, Illinois",B02001_001,51065,NA
17029,"Coles County, Illinois",B02001_002,47222,131
17029,"Coles County, Illinois",B07001_017,39831,921
17029,"Coles County, Illinois",B07011_001,25077,1170
17029,"Coles County, Illinois",B15003_001,32864,135
17029,"Coles County, Illinois",B15003_017,8423,569
17029,"Coles County, Illinois",B15003_018,1796,300
17029,"Coles County, Illinois",B15003_019,2637,306
17029,"Coles County, Illinois",B15003_020,4779,576
17029,"Coles County, Illinois",B15003_021,3682,451
17029,"Coles County, Illinois",B15003_022,5011,478
17029,"Coles County, Illinois",B15003_023,2630,353
17029,"Coles County, Illinois",B15003_024,392,128
17029,"Coles County, Illinois",B15003_025,537,152
17029,"Coles County, Illinois",B17001_001,47407,427
17029,"Coles County, Illinois",B19301_001,28495,1367
17029,"Coles County, Illinois",B25002_001,23481,195
17029,"Coles County, Illinois",B25002_003,2509,367
17029,"Coles County, Illinois",B25007_001,20972,393
17029,"Coles County, Illinois",B25007_002,12596,431
17029,"Coles County, Illinois",B25024_001,23481,195
17029,"Coles County, Illinois",B25024_002,15707,410
17029,"Coles County, Illinois",B25024_003,615,158
17029,"Coles County, Illinois",B25077_001,105100,4138
17031,"Cook County, Illinois",B01001H_001,2168964,1441
17031,"Cook County, Illinois",B01002_001,37,0.1
17031,"Cook County, Illinois",B02001_001,5169517,NA
17031,"Cook County, Illinois",B02001_002,2812203,9582
17031,"Cook County, Illinois",B07001_017,4470049,10681
17031,"Cook County, Illinois",B07011_001,35336,198
17031,"Cook County, Illinois",B15003_001,3584933,119
17031,"Cook County, Illinois",B15003_017,711209,8256
17031,"Cook County, Illinois",B15003_018,100055,2302
17031,"Cook County, Illinois",B15003_019,184947,3644
17031,"Cook County, Illinois",B15003_020,475192,6407
17031,"Cook County, Illinois",B15003_021,238063,3769
17031,"Cook County, Illinois",B15003_022,846361,6159
17031,"Cook County, Illinois",B15003_023,416246,5402
17031,"Cook County, Illinois",B15003_024,113975,3356
17031,"Cook County, Illinois",B15003_025,56837,2236
17031,"Cook County, Illinois",B17001_001,5082060,2466
17031,"Cook County, Illinois",B19301_001,39239,273
17031,"Cook County, Illinois",B25002_001,2198489,756
17031,"Cook County, Illinois",B25002_003,207015,3698
17031,"Cook County, Illinois",B25007_001,1991474,3683
17031,"Cook County, Illinois",B25007_002,1139938,7198
17031,"Cook County, Illinois",B25024_001,2198489,756
17031,"Cook County, Illinois",B25024_002,889820,4794
17031,"Cook County, Illinois",B25024_003,115249,2398
17031,"Cook County, Illinois",B25077_001,255500,1395
17033,"Crawford County, Illinois",B01001H_001,17110,5
17033,"Crawford County, Illinois",B01002_001,42.2,0.6
17033,"Crawford County, Illinois",B02001_001,18833,NA
17033,"Crawford County, Illinois",B02001_002,17469,54
17033,"Crawford County, Illinois",B07001_017,15787,483
17033,"Crawford County, Illinois",B07011_001,27027,1726
17033,"Crawford County, Illinois",B15003_001,13854,102
17033,"Crawford County, Illinois",B15003_017,3151,259
17033,"Crawford County, Illinois",B15003_018,849,133
17033,"Crawford County, Illinois",B15003_019,1202,157
17033,"Crawford County, Illinois",B15003_020,2075,236
17033,"Crawford County, Illinois",B15003_021,2360,236
17033,"Crawford County, Illinois",B15003_022,1550,227
17033,"Crawford County, Illinois",B15003_023,658,149
17033,"Crawford County, Illinois",B15003_024,23,23
17033,"Crawford County, Illinois",B15003_025,60,34
17033,"Crawford County, Illinois",B17001_001,16453,572
17033,"Crawford County, Illinois",B19301_001,27211,2201
17033,"Crawford County, Illinois",B25002_001,8680,290
17033,"Crawford County, Illinois",B25002_003,976,181
17033,"Crawford County, Illinois",B25007_001,7704,336
