GEOID,NAME,variable,estimate,moe
10500,"Albany, GA Metro Area",B15003_017,24285,1156
10500,"Albany, GA Metro Area",B15003_018,6346,643
10500,"Albany, GA Metro Area",B15003_019,7329,787
10500,"Albany, GA Metro Area",B15003_020,15186,921
10500,"Albany, GA Metro Area",B15003_021,9672,792
10500,"Albany, GA Metro Area",B15003_022,11438,889
10500,"Albany, GA Metro Area",B15003_023,5683,622
10500,"Albany, GA Metro Area",B15003_024,1760,353
10500,"Albany, GA Metro Area",B15003_025,1147,239
10500,"Albany, GA Metro Area",B17001_001,141725,858
10500,"Albany, GA Metro Area",B19301_001,24385,767
10500,"Albany, GA Metro Area",B25002_001,65443,402
10500,"Albany, GA Metro Area",B25002_003,9323,689
10500,"Albany, GA Metro Area",B25007_001,56120,805
10500,"Albany, GA Metro Area",B25007_002,31230,898
10500,"Albany, GA Metro Area",B25024_001,65443,402
10500,"Albany, GA Metro Area",B25024_002,42720,866
10500,"Albany, GA Metro Area",B25024_003,1515,382
10500,"Albany, GA Metro Area",B25077_001,120200,4030
10540,"Albany-Lebanon, OR Metro Area",B01001H_001,107303,252
10540,"Albany-Lebanon, OR Metro Area",B01002_001,39.9,0.4
10540,"Albany-Lebanon, OR Metro Area",B02001_001,127216,NA
10540,"Albany-Lebanon, OR Metro Area",B02001_002,112978,855
10540,"Albany-Lebanon, OR Metro Area",B07001_017,107624,1539
10540,"Albany-Lebanon, OR Metro Area",B07011_001,29897,1054
10540,"Albany-Lebanon, OR Metro Area",B15003_001,88624,135
10540,"Albany-Lebanon, OR Metro Area",B15003_017,20582,1227
10540,"Albany-Lebanon, OR Metro Area",B15003_018,5333,622
10540,"Albany-Lebanon, OR Metro Area",B15003_019,9572,677
10540,"Albany-Lebanon, OR Metro Area",B15003_020,18193,1049
10540,"Albany-Lebanon, OR Metro Area",B15003_021,8657,648
10540,"Albany-Lebanon, OR Metro Area",B15003_022,11406,929
10540,"Albany-Lebanon, OR Metro Area",B15003_023,4078,440
10540,"Albany-Lebanon, OR Metro Area",B15003_024,1170,290
10540,"Albany-Lebanon, OR Metro Area",B15003_025,638,146
10540,"Albany-Lebanon, OR Metro Area",B17001_001,125070,1226
10540,"Albany-Lebanon, OR Metro Area",B19301_001,27820,699
10540,"Albany-Lebanon, OR Metro Area",B25002_001,50936,144
10540,"Albany-Lebanon, OR Metro Area",B25002_003,2646,469
10540,"Albany-Lebanon, OR Metro Area",B25007_001,48290,477
10540,"Albany-Lebanon, OR Metro Area",B25007_002,32082,775
10540,"Albany-Lebanon, OR Metro Area",B25024_001,50936,144
